Code,Country,Consum Mediu
LTU,Lithuania,14.662
MDA,Moldova,14.536000000000001
RUS,Russia,14.524000000000001
CZE,Czechia,14.504
BLR,Belarus,14.27
ROU,Romania,14.128
UGA,Uganda,14.052000000000001
LUX,Luxembourg,13.4
IRL,Ireland,13.35
DEU,Germany,13.209999999999999
FRA,France,12.908000000000001
PRT,Portugal,12.774000000000001
HUN,Hungary,12.774000000000001
SYC,Seychelles,12.558
GBR,United Kingdom,12.468
AUT,Austria,12.428
SVN,Slovenia,12.216
BEL,Belgium,11.984
BGR,Bulgaria,11.905999999999999
FIN,Finland,11.870000000000001
ESP,Spain,11.866
EST,Estonia,11.846
SVK,Slovakia,11.84
AND,Andorra,11.794
CHE,Switzerland,11.73
NGA,Nigeria,11.675999999999998
LVA,Latvia,11.552000000000001
AUS,Australia,11.505999999999998
DNK,Denmark,11.315999999999999
UKR,Ukraine,11.304
CYP,Cyprus,11.242
RWA,Rwanda,11.041999999999998
POL,Poland,10.864
NZL,New Zealand,10.745999999999999
LCA,Saint Lucia,10.734
KOR,South Korea,10.52
GRC,Greece,10.25
NLD,Netherlands,10.232
HRV,Croatia,10.228
BFA,Burkina Faso,10.006
MNE,Montenegro,9.939792629469977
TZA,Tanzania,9.88
DMA,Dominica,9.85
ZAF,South Africa,9.754
KNA,Saint Kitts and Nevis,9.661999999999999
GAB,Gabon,9.629999999999999
USA,United States,9.546
ARG,Argentina,9.139999999999999
GRD,Grenada,9.084
SWE,Sweden,8.944
KGZ,Kyrgyzstan,8.914
CHL,Chile,8.862
ITA,Italy,8.51
GNQ,Equatorial Guinea,8.374
BRB,Barbados,8.296
SRB,Serbia,8.27579262946998
BRA,Brazil,8.174000000000001
SWZ,Eswatini,8.174000000000001
BWA,Botswana,8.146
NOR,Norway,8.138
CAN,Canada,8.031792629469978
BDI,Burundi,8.027999999999999
ISL,Iceland,8.026
JPN,Japan,7.85
STP,Sao Tome and Principe,7.666000000000001
GEO,Georgia,7.6659999999999995
VEN,Venezuela,7.640000000000001
GUY,Guyana,7.596000000000001
THA,Thailand,7.534000000000001
MNG,Mongolia,7.4399999999999995
LAO,Laos,7.380000000000001
URY,Uruguay,7.312
ALB,Albania,7.164
VCT,Saint Vincent and the Grenadines,7.110000000000001
PRY,Paraguay,7.091999999999999
BIH,Bosnia and Herzegovina,6.992
CMR,Cameroon,6.912000000000001
MLT,Malta,6.9
PER,Peru,6.846000000000001
PAN,Panama,6.7
BLZ,Belize,6.55
DOM,Dominican Republic,6.547999999999999
MKD,North Macedonia,6.4719999999999995
PHL,Philippines,6.454000000000001
CPV,Cape Verde,6.4079999999999995
KAZ,Kazakhstan,6.38
TTO,Trinidad and Tobago,6.249999999999999
AGO,Angola,6.142
COG,Congo,6.1080000000000005
LBR,Liberia,5.924
CHN,China,5.82
LSO,Lesotho,5.714
SLE,Sierra Leone,5.706
ATG,Antigua and Barbuda,5.674
SUR,Suriname,5.611999999999999
MEX,Mexico,5.608
COL,Colombia,5.510000000000001
ECU,Ecuador,5.422
ARM,Armenia,5.42
CUB,Cuba,5.372
ZMB,Zambia,5.362
VNM,Vietnam,5.252000000000001
CRI,Costa Rica,5.08
NIC,Nicaragua,5.07
TKM,Turkmenistan,4.95
GNB,Guinea-Bissau,4.872
BHS,Bahamas,4.662000000000001
MUS,Mauritius,4.518000000000001
NRU,Nauru,4.518
KHM,Cambodia,4.496
BOL,Bolivia,4.488
JAM,Jamaica,4.426
IND,India,4.008
GMB,Gambia,3.8880000000000003
SDN,Sudan,3.8852721993624515
GHA,Ghana,3.84
ZWE,Zimbabwe,3.75
NAM,Namibia,3.722
PRK,North Korea,3.72
SLV,El Salvador,3.69
CIV,Cote d'Ivoire,3.6799999999999997
TCD,Chad,3.6720000000000006
HND,Honduras,3.6439999999999997
UZB,Uzbekistan,3.604
AZE,Azerbaijan,3.444
GTM,Guatemala,3.44
ARE,United Arab Emirates,3.412
ISR,Israel,3.3939999999999997
LKA,Sri Lanka,3.386
HTI,Haiti,3.2479999999999998
WSM,Samoa,3.242
CAF,Central African Republic,3.218
MWI,Malawi,3.15
KEN,Kenya,3.1359999999999997
FJI,Fiji,3.134
MMR,Myanmar,2.8920000000000003
FSM,Micronesia (country),2.882
TJK,Tajikistan,2.854
BEN,Benin,2.588
AFG,Afghanistan,2.5737926294699784
TGO,Togo,2.3980000000000006
TUR,Turkey,2.2039999999999997
ETH,Ethiopia,2.1719999999999997
LBN,Lebanon,2.114
SGP,Singapore,2.112
OMN,Oman,2.0799999999999996
MOZ,Mozambique,1.95
MDV,Maldives,1.9
MDG,Madagascar,1.8719999999999999
TUV,Tuvalu,1.834
NPL,Nepal,1.8219999999999998
VUT,Vanuatu,1.6920000000000002
TUN,Tunisia,1.6660000000000004
ERI,Eritrea,1.578
PNG,Papua New Guinea,1.568
SLB,Solomon Islands,1.556
QAT,Qatar,1.544
COD,Democratic Republic of Congo,1.5219999999999998
BHR,Bahrain,1.5159999999999998
TLS,Timor,1.448
TON,Tonga,1.3779999999999997
KIR,Kiribati,1.3499999999999999
SOM,Somalia,1.2948585635359116
BTN,Bhutan,1.228
MYS,Malaysia,1.166
MLI,Mali,1.1640000000000001
DJI,Djibouti,0.898
GIN,Guinea,0.8640000000000001
MAR,Morocco,0.852
DZA,Algeria,0.784
SEN,Senegal,0.78
IRN,Iran,0.768
SYR,Syria,0.694
JOR,Jordan,0.6599999999999999
IDN,Indonesia,0.5479999999999999
COM,Comoros,0.49000000000000005
IRQ,Iraq,0.42800000000000005
NER,Niger,0.402
BRN,Brunei,0.378
EGY,Egypt,0.332
YEM,Yemen,0.2832
PAK,Pakistan,0.213
SAU,Saudi Arabia,0.182
BGD,Bangladesh,0.11800000000000002
MRT,Mauritania,0.097
LBY,Libya,0.058600000000000006
KWT,Kuwait,0.019
